0.21,PlayerMove,Left
0.01,BadThrMove,Left
0.12,BadOneMove,Down
0.28,PlayerMove,Left
0.12,BadThrMove,Left
0.11,BadTwoMove,Down
0.17,BadOneMove,Left
0.01,PlayerMove,Left
0.23,BadThrMove,Left
0.17,BonusTile|EatBonus,90|400
0.27,BadOneMove|BadTwoMove,Left|Left
0.08,BadThrMove,Left
0.14,PlayerMove,Up
0.38,BadThrMove,Left
0.03,PlayerMove,Up
0.05,BadOneMove,Left
0.17,BadTwoMove,Left
0.19,PlayerMove,Up
0.08,BadThrMove,Left
0.24,BadOneMove,Left
0.09,PlayerMove,Up
0.19,BadThrMove,Up
0.06,BadTwoMove,Up
0.16,PlayerMove,Up
0.18,BadOneMove,Up
0.12,BadThrMove,Up
0.14,PlayerMove,Up
0.25,BadTwoMove,Up
0.13,BadThrMove,Up
0.03,PlayerMove,Up
0.01,BadOneMove,Up
0.48,BadThrMove,Up
0.2,BadOneMove|BadTwoMove,Right|Up
0.04,PlayerMove,Right
0.28,BadThrMove,Up
0.13,PlayerMove,Right
0.23,BadOneMove,Down
0.16,BadThrMove,Up
0.01,BadTwoMove,Up
0.01,PlayerMove,Right
0.41,PlayerMove,Right
0.09,BadOneMove|BadThrMove,Down|Right
0.32,PlayerMove,Right
0.02,BadTwoMove,Right
0.18,BadThrMove,Right
0.16,BadOneMove,Right
0.05,PlayerMove,Right
0.31,BadThrMove,Right
0.1,PlayerMove,Right
0.05,BadTwoMove,Up
0.17,BadOneMove,Right
0.19,PlayerMove,Right
0.01,BadThrMove,Right
0.48,BadOneMove|BadTwoMove,Right|Left
0.04,BadThrMove,Right
0.52,BadThrMove,Right
0.12,BadOneMove,Right
